Time [s],Packet ID,MOSI,MISO
2.430300125,58,'4' (0x04),'16' (0x10)
2.430346875,59,'1' (0x01),S (0x53)
2.430353125,59,'0' (0x00),'4' (0x04)
2.43039025,60,'129' (0x81),S (0x53)
2.43039675,60,'0' (0x00),'4' (0x04)
2.430994625,61,= (0x3D),S (0x53)
2.431000875,61,'0' (0x00),'18' (0x12)
2.431038,62,'189' (0xBD),S (0x53)
2.431044375,62,'22' (0x16),'18' (0x12)
2.431096125,63,( (0x28),S (0x53)
2.43110225,63,'0' (0x00),'0' (0x00)
2.431139625,64,'165' (0xA5),S (0x53)
2.431146,64,@ (0x40),@ (0x40)
2.431185125,65,'1' (0x01),S (0x53)
2.431191375,65,'0' (0x00),'0' (0x00)
2.4312285,66,'129' (0x81),S (0x53)
2.431235,66,'16' (0x10),'0' (0x00)
2.431271125,67,' (0x27),S (0x53)
2.431277375,67,'0' (0x00),'0' (0x00)
2.43131475,68,' (0x27),S (0x53)
2.431321,68,'0' (0x00),'16' (0x10)
2.431358375,69,' (0x27),S (0x53)
2.431364625,69,'0' (0x00),'16' (0x10)
2.431402,70,' (0x27),S (0x53)
2.43140825,70,'0' (0x00),'144' (0x90)
2.431449375,71,$ (0x24),S (0x53)
2.4314555,71,'0' (0x00),'255' (0xFF)
2.431496,72,'1' (0x01),S (0x53)
2.43150225,72,'0' (0x00),'16' (0x10)
2.431539375,73,'129' (0x81),S (0x53)
2.431545875,73,'4' (0x04),'16' (0x10)
2.4315955,74,' (0x27),S (0x53)
2.43160175,74,'0' (0x00),'128' (0x80)
2.431638875,75,'165' (0xA5),S (0x53)
2.431645375,75,'0' (0x00),@ (0x40)
2.43167925,76,'128' (0x80),S (0x53)
2.4316855,76,'15' (0x0F),S (0x53)
2.43169175,76,'1' (0x01),'15' (0x0F)
2.431698125,76,7 (0x37),'15' (0x0F)
2.43170425,76,'0' (0x00),'15' (0x0F)
2.43171175,76,L (0x4C),'15' (0x0F)
2.431719,76,O (0x4F),'15' (0x0F)
2.431726375,76,: (0x3A),'15' (0x0F)
2.43173375,76,5 (0x35),'15' (0x0F)
2.431741,76,9 (0x39),'15' (0x0F)
2.431748375,76,s (0x73),'15' (0x0F)
2.431755625,76,' ' (0x20),'15' (0x0F)
2.431763,76,B (0x42),'15' (0x0F)
2.43177025,76,A (0x41),'15' (0x0F)
2.431777625,76,T (0x54),'15' (0x0F)
2.431784875,76,: (0x3A),'15' (0x0F)
2.43179225,76,v (0x76),'15' (0x0F)
2.431830375,77,'1' (0x01),'15' (0x0F)
2.4318365,77,'0' (0x00),'4' (0x04)
2.43187375,78,'129' (0x81),'15' (0x0F)
2.431880125,78,'12' (0x0C),'4' (0x04)
2.431932,79,'1' (0x01),'15' (0x0F)
2.431938125,79,'0' (0x00),'12' (0x0C)
2.431975375,80,'129' (0x81),'15' (0x0F)
2.431981875,80,'4' (0x04),'12' (0x0C)
2.432025375,81,'1' (0x01),'3' (0x03)
2.4320315,81,'0' (0x00),'12' (0x0C)
2.43206875,82,'129' (0x81),'3' (0x03)
2.43207525,82,'0' (0x00),'12' (0x0C)
2.432720375,83,= (0x3D),'3' (0x03)
2.4327265,83,'0' (0x00),'18' (0x12)
2.432763625,84,'189' (0xBD),'3' (0x03)
2.43277,84,'22' (0x16),'18' (0x12)
2.43282175,85,( (0x28),'3' (0x03)
2.432827875,85,'0' (0x00),'0' (0x00)
2.43286525,86,'165' (0xA5),'3' (0x03)
2.432871625,86,@ (0x40),'0' (0x00)
2.43291075,87,'1' (0x01),'3' (0x03)
2.432917,87,'0' (0x00),'0' (0x00)
2.432954125,88,'129' (0x81),'3' (0x03)
2.432960625,88,'16' (0x10),'0' (0x00)
2.43299675,89,' (0x27),'3' (0x03)
